kata,label
nyaman,happy
puas,happy
bagus,happy
rekomendasi,happy
terjangkau,happy
diskon,happy
promo,happy
kuat,happy
keren,happy
cepat,happy
layani,happy
mantap,happy
worth,happy
suka,happy
pas,happy
model,happy
percaya,happy
kualitas,happy
kemas,happy
respon,happy
bantu,happy
fungsi,happy
fit,happy
lembut,happy
cerah,happy
gaya,happy
tren,happy
mudah,happy
ringan,happy
ori,happy
oke,happy
seller,happy
loyal,happy
langgan,happy
akurat,happy
elegan,happy
stylish,happy
menarik,happy
premium,happy
favorit,happy
modern,happy
rapi,happy
presisi,happy
detail,happy
bentuk,happy
awet,happy
gratis,happy
hemat,happy
nilai,happy
cocok,happy
gambar,happy
praktis,happy
kompak,happy
fleksibel,happy
estetik,happy
unggul,happy
efisien,happy
populer,happy
top,happy
responsif,happy
wajib,happy
modis,happy
stabil,happy
pasang,happy
tepat,happy
terbaik,happy
nyata,happy
berkualitas,happy
inovatif,happy
aman,happy
update,happy
original,happy
tolol,anger
goblok,anger
tidak,anger
rusak,anger
salah,anger
jelek,anger
tipis,anger
buruk,anger
lambat,anger
kecewa,anger
gagal,anger
bayar,anger
kirim,anger
jahit,anger
kasar,anger
melenceng,anger
cacat,anger
abaikan,anger
bohong,anger
beda,anger
komplain,anger
cuek,anger
sobek,anger
luntur,anger
tipu,anger
palsu,anger
macet,anger
batal,anger
aneh,anger
keras,anger
berat,anger
murah,anger
bocor,anger
lepas,anger
bau,anger
sembarangan,anger
tidur,anger
susah,anger
sempit,anger
nyangkut,anger
menyesal,anger
layak,anger
tidakpresisi,anger
tidakori,anger
tidakrapi,anger
tidakfungsi,anger
modelaneh,anger
murahan,anger
curang,anger
berisik,anger
ganggu,anger
kendor,anger
panas,anger
pudar,anger
goyang,anger
bekas,anger
parah,anger
tidakrespon,anger
bising,anger
lemot,anger
ngaret,anger
lama,anger
cacatfisik,anger
mengecewakan,anger
abal,anger
retak,anger
jatuh,anger
tidakkirim,anger
tidakjawab,anger
tidaksesuai,anger
tidakbalas,anger
ngaco,anger
amburadul,anger
mahal,sadness
tidaknyaman,sadness
tidakpas,sadness
tidakbagus,sadness
harap,sadness
sedih,sadness
kusam,sadness
penyesalan,sadness
seadanya,sadness
tidakistimewa,sadness
tidakawet,sadness
mengecewakan,sadness
menyusut,sadness
robek,sadness
kuno,sadness
lecet,sadness
kaku,sadness
tidakfleksibel,sadness
membosankan,sadness
tidakcocok,sadness
menurun,sadness
tidakmenarik,sadness
tidakmodis,sadness
cepatrusak,sadness
terbatas,sadness
kurangpuas,sadness
warnapudar,sadness
tidaksegar,sadness
warnakusam,sadness
kurangkeren,sadness
tidakstabil,sadness
keluh,sadness
tidaklengkap,sadness
cepatpanas,sadness
tidakmaksimal,sadness
mengganggu,sadness
mengeluh,sadness
bingung,sadness
kurangtahu,sadness
menangis,sadness
terharu,sadness
sakit,sadness
kurangpaham,sadness
malas,sadness
suram,sadness
hambar,sadness
murung,sadness
sendu,sadness
tidaksempurna,sadness
keliru,sadness
hampa,sadness
putus,sadness
gagalpaham,sadness
bosan,sadness
ketinggalan,sadness
usang,sadness
berat,sadness
capek,sadness
lelah,sadness
seret,sadness
tidaknyata,sadness
takut,sadness
gelisah,sadness
curiga,sadness
khawatir,sadness
hancur,sadness
kering,sadness
kabur,sadness
buram,sadness
keringan,sadness
jatuh,sadness
muram,sadness
terbebani,sadness
oke,netral
cukup,netral
standar,netral
lumayan,netral
netral,netral
terima,netral
datang,netral
ada,netral
pakai,netral
deskripsi,netral
normal,netral
wajar,netral
digunakan,netral
original,netral
umum,netral
baik,netral
fungsi,netral
aman,netral
layak,netral
terpakai,netral
pasaran,netral
umumsaja,netral
biasa,netral
cukuppuas,netral
cukupbaik,netral
cukupaman,netral
kondisi,netral
cukupsesuai,netral
cukupworth,netral
cukupbagus,netral
tidakburuk,netral
tidakcacat,netral
tidakbermasalah,netral
cukupcepat,netral
cukupmudah,netral
cukupfleksibel,netral
cukupmodis,netral
cukuprekomendasi,netral
cukupdapat,netral
cukupdikirim,netral
cukupstandar,netral
cukupdapatpakai,netral
cukupsering,netral
cukuptepat,netral
cukupcocok,netral
cukuprealistis,netral
cukupterjangkau,netral
cukuptersedia,netral
cukupnyaman,netral
cukupupdate,netral
cukupbersih,netral
cukupmoderat,netral
cukuprapi,netral
cukupkuat,netral
cukupbaiklah,netral
cukupnetral,netral
cukupringan,netral
cukupbaguslah,netral
cukupokelah,netral
cukupmantap,netral
cukupadil,netral
cukupbiasa,netral
cukuplayak,netral
cukupwarna,netral
cukuppakai,netral
cukupdetail,netral
cukuprespon,netral
cukupproduktif,netral
cukupbisa,netral
cukupsesuaiharga,netral
cukupterima,netral
cukupbekerja,netral
