text;emotion
Bentuk dan ukuran: 42 Daya tahan pakai: Tahan lama Untuk sepatunya masih banyak benang tp gapapa, terus kalo dilihat dari atas bagian depan sepatunya beda sebelah, dan utk kenyamanan blm dicoba lagi.;netral
bagus banget sepatunya suamiku suka katanya,di pake nya jg enteng dan nyaman.untuk size 43 pas ga sempit jd ga perlu naik size atau turun size yg biasa pake ukuran normal;senang
Sepatunya cakeeep banget, keren, empuk, enteng gak berat  Pas di pake nya, sepatu lokal harga sesuai tapi kualitas bagus gak nyesel deh Bentuk dan ukuran: Bentuknya keren ukuran pas;netral
Warna: sesuai dengan gambar Bentuk dan ukuran: utk ukuran ga perlu up size ini empuk banget;netral
Bentuk dan ukuran: Pas Aroma: Wangi Daya tahan pakai: Awet;netral
bagus banget,cuman beli nya kekecilan Ampe sempit bgt di kaki hehe;senang
bagus bangettttt, warnanyaaa juga baguss, cuma packaging nya langsung dus dan dikasi plastik bening ajaa;senang
Asli bagus banget sepatunya,keren parah sangat sesuai ekspektasi mirip bangettt seperti di fotonya,jangan ragu buat chek out di sini teman teman⭐️⭐️⭐️⭐️⭐️;senang
bahan oke modelnya keren, nyaman banget makenya terima kasih Tokopedia terima kasih seller;netral
Akhirnya datang juga yg ditunggu, meski lama dipengiriman tapi terobati sama sepatunya yg Ok punya, ini produk lokal yg hrs didukung Cakep, enak dipakenya dan anak saya suka Trims tokped, seller dan kurirnya;senang
alhamdulillah pengirimannya cepatt dan sepatunya sama kayak di foto, ga nyesel deh bagus banget barangnyaa terimakasi minn, semoga awet sepatunyaa;senang
Langganan sepatu ini baru kali ini agak kecewa 😐 Kok bagian depan sepatu yg sebelah kiri gak simetris yaa  Agak ganggu keestetikan kalo di liat lama2 tuh 😓 Terus alas nya kegedean gitu sampe bikin sepatunya kayak gede ke pinggir 🥴 Mohon di perhatikan lg pas mau ngirim barang;marah
orderan sudah sampai, produk original keren, bagus. mantap betul.;senang
keren!,co hari kamis dateng hari jumat itu emng cepet atau emng deket yak?keren lah pokoknya sepatunya mantap bagus banget;senang
