kata,label
puas,senang
nyaman,senang
bagus,senang
keren,senang
cepat,senang
mantap,senang
murah,senang
original,senang
pas,senang
rapi,senang
bersih,senang
ringan,senang
lembut,senang
lentur,senang
modis,senang
trendy,senang
kuat,senang
awet,senang
oke,senang
terjangkau,senang
recommended,senang
halus,senang
enak,senang
empuk,senang
stylish,senang
elegan,senang
presisi,senang
suka,senang
andalan,senang
tepat,senang
fast,senang
oke,senang
wangi,senang
top,senang
nyamanbanget,senang
fit,senang
matching,senang
kualitas,senang
kerenbanget,senang
worthit,senang
terbaik,senang
favorit,senang
fleksibel,senang
modisnya,senang
baget,senang
pasbanget,senang
satisfying,senang
rusak,marah
sobek,marah
cacat,marah
jelek,marah
palsu,marah
tipis,marah
retak,marah
lecet,marah
robek,marah
salah,marah
tidak,marah
mengecewakan,marah
gagal,marah
pecah,marah
tidaksesuai,marah
asal,marah
abal,marah
tidakori,marah
bau,marah
kaku,marah
berat,marah
tidaknyaman,marah
licin,marah
kendor,marah
longgar,marah
ketat,marah
tidakpas,marah
luntur,marah
lama,marah
telat,marah
macet,marah
lemot,marah
parah,marah
bohong,marah
kecewa,marah
balasan,marah
komplain,marah
ngecewain,marah
zonk,marah
ngaret,marah
mahal,marah
penipuan,marah
tipuan,marah
tidakrapi,marah
nggakori,marah
menyesal,marah
males,marah
kecwa,marah
bikinjengkel,marah
sedih,sedih
lelah,sedih
ragu,sedih
bingung,sedih
takut,sedih
kecewa,sedih
menyesal,sedih
pusing,sedih
bosan,sedih
lemas,sedih
kurang,sedih
gelisah,sedih
murung,sedih
hampa,sedih
galau,sedih
pasrah,sedih
down,sedih
buruk,sedih
bimbang,sedih
rapuh,sedih
patah,sedih
takberdaya,sedih
tidakpuas,sedih
tidakcocok,sedih
tidakpas,sedih
tidakbagus,sedih
kering,sedih
garing,sedih
gelap,sedih
kendor,sedih
jelekbanget,sedih
terlambat,sedih
tidaklayak,sedih
jatuh,sedih
remuk,sedih
nggakpaham,sedih
gagaltotal,sedih
bosannya,sedih
ruginya,sedih
nyesel,sedih
payah,sedih
basi,sedih
salahpilih,sedih
gampanglepas,sedih
putus,sedih
malas,sedih
terbuang,sedih
cukup,netral
lumayan,netral
standar,netral
biasa,netral
okejuga,netral
datang,netral
dikirim,netral
terima,netral
pakai,netral
dipakai,netral
fungsi,netral
sesuai,netral
originalnya,netral
proses,netral
paket,netral
terkirim,netral
fitur,netral
biasaaja,netral
netral,netral
stok,netral
kualitasnya,netral
barang,netral
produk,netral
desain,netral
warna,netral
ukuran,netral
harga,netral
kemasan,netral
model,netral
jenis,netral
material,netral
pengiriman,netral
transaksi,netral
pembayaran,netral
fiturnya,netral
hargaoke,netral
realpict,netral
standarbanget,netral
simple,netral
masihbisa,netral
lumayanlah,netral
cukupbaik,netral
normal,netral
pembungkus,netral
respon,netral
plastik,netral
berfungsi,netral
terlihat,netral
aman,netral
masuk,netral
