text,emotion
"Produknya bagus dan cepat sampai, puas banget belanja di sini!","senang"
"Sangat senang dengan kualitas barang yang sesuai harga.","senang"
"Harganya terjangkau dan hasilnya memuaskan.","senang"
"Paketannya rapi dan aman, tidak ada kerusakan.","senang"
"Layanan pelanggan sangat ramah dan cepat merespons.","senang"
"Barang rusak saat diterima, kecewa sekali.","marah"
"Kualitas produk jauh dari deskripsi, menyesal beli di sini.","marah"
"Pengiriman sangat lama, lebih dari seminggu baru sampai.","marah"
"Tidak akan beli lagi, pelayanan sangat buruk.","marah"
"Barang tidak lengkap, ada yang hilang saat sampai.","marah"
"Barang hilang di jalan, sedih rasanya setelah menunggu lama.","sedih"
"Tidak ada garansi resmi, sayang sekali karena barang mudah rusak.","sedih"
"Kualitas produk turun drastis dibanding sebelumnya.","sedih"
"Packing tidak aman, banyak barang yang pecah.","sedih"
"Sedih karena penjual tidak merespons meski sudah DM berkali-kali.","sedih"
"Barang biasa saja, nggak ada yang istimewa.","netral"
"Pengemasan standar, tidak ada masalah tapi juga tidak memuaskan.","netral"
"Tidak ada keluhan, tapi juga tidak rekomendasikan ke teman.","netral"
"Biasa aja sih, harganya pasaran dan kualitas biasa.","netral"
"Layanan biasa, pengiriman normal seperti biasa.","netral"
"Barang datang tepat waktu, packing rapi dan aman.","senang"
"Kualitasnya mantap untuk harga segini, suka deh!","senang"
"Warna sesuai ekspektasi, cocok dipakai sehari-hari.","senang"
"Respon penjual cepat, pengiriman pun cepat!","senang"
"Barang masih baru dan belum pernah dipakai, mantap!","senang"
"Barang cacat fisik, tidak bisa digunakan langsung!","marah"
"Ukuran tidak sesuai, terlalu kecil dari bayangan saya.","marah"
"Promo ternyata tidak berlaku, sangat menipu!","marah"
"Barang tidak original, seperti produk KW.","marah"
"Penjual susah dihubungi setelah transaksi selesai.","marah"
"Saya kecewa karena barang tidak sesuai harapan.","sedih"
"Tidak ada konfirmasi pengiriman sama sekali.","sedih"
"Barang datang dalam kondisi rusak parah.","sedih"
"Kualitas menurun drastis dari pembelian sebelumnya.","sedih"
"Saya kira ini promo besar, ternyata tidak ada diskonnya.","sedih"
"Barang oke, tapi tidak terlalu spesial.","netral"
"Tidak ada masalah, tapi tidak akan beli lagi di sini.","netral"
"Pengiriman biasa, tidak cepat juga tidak lambat.","netral"
"Kualitas cukup baik, tidak jelek juga tidak terlalu bagus.","netral"
"Barang sesuai deskripsi, tapi kurang menarik secara tampilan.","netral"
"Barangnya sangat bermanfaat, saya suka!","senang"
"Saya sangat senang dengan kualitas produk ini.","senang"
"Paketnya aman dan barang masih utuh saat diterima.","senang"
"Kualitasnya jauh lebih baik dari produk sejenis.","senang"
"Barang sesuai ekspektasi, recomended seller!","senang"
"Barang tidak sesuai foto, warna pudar dan bahan tidak halus.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang sampai dalam kondisi rusak, padahal packing tebal.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Promonya tidak valid, sangat mengecewakan.","marah"
"Saya sedih karena barang tidak dikirim sesuai janji.","sedih"
"Barang rusak dan tidak bisa diretur.","sedih"
"Kualitas produk menurun dari sebelumnya.","sedih"
"Kehilangan harapan, produk tidak sesuai iklan.","sedih"
"Saya pikir ini promo besar, ternyata tidak ada potongan.","sedih"
"Barang biasa saja, tidak ada yang istimewa.","netral"
"Pengemasan standar, tidak ada kejutan atau bonus tambahan.","netral"
"Kualitasnya biasa, tidak terlalu buruk juga tidak terlalu bagus.","netral"
"Tidak ada masalah, tapi tidak akan repurchase.","netral"
"Barang sesuai deskripsi, tapi tidak ada kelebihan lainnya.","netral"
"Produknya bagus, sangat membantu pekerjaan saya.","senang"
"Barangnya sangat awet dan tahan lama, puas!","senang"
"Kualitas premium dengan harga yang bersaing.","senang"
"Pengiriman cepat dan gratis ongkir, mantap!","senang"
"Layanan pelanggan sangat responsif, terima kasih!","senang"
"Barang tidak sesuai deskripsi, sangat kecewa.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
