Teks Asli;Prediksi Lexicon
"barang sampai dengan keadaan baik,tidak ada lecet sedikit pun, pengiriman cukup cepat 4 hari sudah sampai.uk sepatu juga pas.dapet harga flash sale.
thank you aerostrett";senang
Sebenarnya produk nya bagus, tapi harus saya kasih bintang 2 dikarenakan hal mendasar yaitu tali sepatu yang tidak lengkap di dalam box sepatu nya, jujur sebagai konsumen yang membeli saya kecewa. Semoga kedepannya menjadi perbaikan untuk perusahaan dalam Quality Control pengecekan barang.;senang
sepatunya bagussss, memuaskan juga, kainnya juga lumayan tebal, harganya okeee, udah ketiga kalinya beli sepatu di Aero gapernah ngecewain;senang
Cakep modelnya, nyaman, pas ukurannya, gak malu2in dan bikin bangga produk dalam negeri. Sepatu ke 3 yg dibeli dr Aerostreet. Makin cinta! ❤️;senang
kualitas keren bgt, tapi sayang talinya jelek tipis bgt;senang
Barang datang dengan baik, pengiriman juga cepet cuman satu aja sih di pengemasan lebih di perhatikan lagi biar dus nya gak penyok², overall bagus #lokaltakgentar;senang
Lumayan untuk kualitas harga 100rban, solnya lumayan nyaman dan ukurannya pas sesuai size chart;senang
"jossssse!! 
rapih,bahan berkualitas &harga terjangkau pula 
buruan pada beli dah🤩";netral
barangnya kayak pabrik farmasi tutup. ngak ada obatt!!!;senang
Order tgl 12 nyampe tgl 22, pengiriman lama. Produk ok bgt sih keren sebagai lokal. Moga terus berkembang dan boikot adidas israel, saya terus dukung produk lokal. Terimakasih #freepalestine;senang
"Beli biru 🔵 yg dtg merah 🔴
sudah minta cancel tp di tolak. 
Sepatunya bagus, kualitas nya juga sptnya ok, tp ini ada cacat di sepatu, semoga bs lebih baik kedepannya";senang
bagus tapi sayang ada sedikit luntur warna😌;senang
Sepatunya nyaman. Mantap modelnya 👟. Desainnya keren 👍. Penjualnya ramah banget. Ukuran sesuai. Bahannya berkualitas. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Respon penjualnya top.;senang
sesuai foto sesuai ukuran sesuai semuanya kecuali lacenya tipis;senang
Akhirnya sampai juga... Barangnya good gaada kendala yg aneh aneh sudah ane jajal & coba 🥶👍🏻;senang
insolnya tipis mengecewakan dan hanya lem saja;marah
"bagus bngt sesuai dengan gambar
bahan baguss cuman alasnya agak licinn hehehe";senang
"Mantab emng aero bagus² sesuai ekspektasi, cuma mungkin talinya harus agak panjang lagi kali ya... Dan juga ekspedisi lama bngt 4 hari bru smpe, biasanya 2 hari
Tp overall bagus";senang
nice bgt sepatunya, warnanya juga strong sama bahannya kuat;senang
Bagus, jahitan rapi, lem kuat.. semoga awet. tks;senang
"Mantap sesuai iklan. LOKAL PRIDE.

puas selalu beli di aerostreet. sayangnya sy gak bisa beli buat sendiri krn ukuran nggk ada yg cukup. semoga kedepan bikin ukuran 46 up";senang
proses pengiriman sangat cepat kejadiannya begitu tiba tiba ,semoga awet;senang
"RECOMMENDED SELLER.
Barang sesuai Deskripsi dan pesanan sangat sesuai";senang
arang sesuai hanya saja pengantaran ke jakarta lama sekali.dalam 2 hari status barang menunggu pick up.saya ga paham ini karyawannya terbatas jadi tidak ada waktu untuk melakukan pengantaran ke ekspedisi atau nunggu pembeli banyak terlebih dahulu.kalau seperti ini sistem pengirimannya ga cocok untuk pembeli yg butuh cepat..;senang
Mantaaaapp... Kwalitas bahan bagus, harga bagus, terimakasih... produk lokal mantaaapp 👏🏻👏🏻👍🏻;senang
malas bikin ulasan, ujung ujungnya cuma dibales sama robot 🤖;senang
Modelnya bagus. Barang sesuai pesanan. Seller membantu.;senang
Modelnya stylish, pas di kaki, nyaman, sol empuk, keren deh pokoknya;senang
ukuran 37, barangnya bagus, sesuai dengan deskripsi, mantab;senang
Bagus, sesuai pesanan, pengiriman cpt;senang
pengiriman sampai lebih cepat, kondisi barang ok banget tq;senang
pckagingnya aman, sesuai sih produknyaa🫰🏻;senang
modelnya bagus sesuai di gambar.;senang
"Sesuai pesanan...mantap.
Lokal tak gentar...
Maju terus 👍";senang
Sepatunya nyaman. Desainnya keren 👍.  sesuai!;senang
Cuma dikirim satu, padahal di live sudah tertera by one Get one;netral
josee joss aerostreet #lokalpride #lokaltakgentar ✊️;netral
setelah dipakai beberapa kali baru terasa enak dan nyaman seperti sepatu kanvas pada umumnya, jahitan rapi banget, jujur dengan harga segini sih udah ngelebihin ekspektasi banget haha, murah tapi tidak murahan cocok buat nilai sepatu ini;senang
ukurannya pas dipake sama ponakan gweh, cocok dan bagus👍🏻;senang
Ukuran sesuai. Mantap modelnya 👟.;senang
build qualitynya ga kalah sama converse n vans;senang
Well done, walopun pengiriman sempat tertunda;netral
"keliatannya si lumayan keren cuma detail"" di sepatunya kurang dapet ama beberapa ada yang kya lem asal""an 
ama 1 lagi talinya tipis bgt kudu upgrade bagian pertalian ini mahh, tpi overal memuaskan lah buat harga segini";senang
mantap dah langganan spatu pasti disiniSepatunya nyaman. Mantap modelnya 👟. Bahannya berkualitas.;senang
Sepatunya nyaman. Bahannya berkualitas. Mantap modelnya 👟. Desainnya keren 👍. Ukuran sesuai.;senang
model bagus, enak di pake, cuma aga keras aja;senang
mantab, pengiriman cepat, barangnya bagus banget, keren, emang ga salah balik lagi kesini buat belanja lagi, hehe, thank you;senang
Sepatunya nyaman. Desainnya keren 👍. Ukuran sesuai. Bahannya berkualitas. Mantap modelnya 👟.;senang
Suka banget, produk lokal kualitas keren. Harga murah tp gak murahan. Semoga awet;senang
"3 kali beli produk Aerostreet gak pernah mengecewakan, bagus semua.
harga sangat manusiawi dengan kualitas luar biasa bagus.
lokal gak kalah dgn brand luar. TOP, maju terus Aerostreet 👍👍👍🤘🤘🤘";senang
Mantap modelnya 👟. tapi untuk packing nya di tingkatin bubble wrap nya yang banyak biar kotak spatunya gak ancur lagi;senang
barangnya meluncur aman, kardus sepatu juga aman nggak penyok😁;senang
Sebenernya sesuai yang di foto bagus tapi sayang salah ukuran;senang
"mantab bnget dengan harga segitu,,dipakai nyaman,,
pengiriman cepat👍";senang
looksnya nice, sepatunya bau pabrik dan banyak hashtag lokal agak...;senang
pokoknya bagus sepatutnya ngk nyesel puas banget puas;senang
keren, pas, nyaman, kuat;senang
akusih puas banget. cuma packaging ngeri banget. tapi barang aman sihhh;senang
semuanya bagus pokoke recommended untuk dibeli;senang
Bagus gak nyesel beli di toko ini;senang
"kerennn cuman 39 nya 
lebih panjang dari brushpen";netral
bagus, cuma talinya aja yg kurang panjang;senang
barang sesuai dengan pesanan dan barang sudah sampai barang ok punya👍;senang
model n kwalitas mantaaap..👍 mo beli lg tp stok yg item putih abis;senang
"barang sangat bagus dan memuaskan
terima kaih";senang
Bagus sekali, anak saya suka sekali, Thanks seller dan platform;senang
Overall bagus, cuma kurang di kurirnya aja, sampe² harus ngambil sendiri.;senang
uda deskripsi ukuran cma panjang gk ada lebar, gk bsa retur;netral
Prediksi Indonesia akan lolos sampai 8 besar AFC Piala Asia !;senang
Desainnya keren 👍. Ukuran sesuai. Mantap modelnya 👟.;senang
memuaskan,mau order lagi warna item;netral
"model bagus ,sesuai pesanan 
terimakasih 🙏";senang
"plastik kosong aje🤨
tak niat pakc ey
etah mah aya aya wae 
asoy";sedih
barang ga nyampe nunggu trus claim lama banget;netral
barang ok , pengirim aja aga lama;netral
salah ukuran, pesan high. tp datangnya size 37;marah
De best;senang
Ada noda kuningnya dibagian solm;sedih
selalu puas dengan kualitas aero street;senang
lokal tak gentar ✊;netral
Sepatunya bagus,sesuai, terimakasih aerostreet dan kurir;senang
barang bagus,#localhero;netral
awet sampe sekarang masih aman;senang
produk ori. proses cepat;senang
Barang bagus pengiriman cepat;senang
bagus;senang
Pas bgt enak bagus;senang
Oke dicoba dulu semoga awet karena buat kerja harian;netral
mantap;senang
cakeeup abieezz;netral
mantap;senang
Sepatunya nyaman.;senang
paket cepet sampai dan rapi;senang
"love it
#lokaltakgentar";netral
juara!!!;senang
cocok buat anak sekolah;senang
Mantap,semoga awet 👍;netral
mantaaapss;netral
sesuai gambar 👍;senang
eyecatching bgt, semoga awettt;netral
sip... sepatu keren;senang
ga nyangka sebagus ini..;senang
sangat mantap;senang
oke;netral
oke;netral
keren banget dong;senang
cakeupp;netral
mantap;senang
keren sepatunya;senang
Desainnya keren 👍.;senang
Ok;netral
semoga awet;netral
udah pastii terbaikkkk!!!;senang
pesanan sudah sampai, thx;netral
kerren, ini pembelian ke 5 dan selalu bagus;senang
Auto langganan;netral
keren.... sepatu kesekian kalinya beli.... harga murah.. kualitassuper... suksesselalu aero street;senang
Pengiriman sedikit telat. Dan tali belum di pasang;senang
APAANSI 99RIBU SEBAGUS INI???????GILA KAPAN LAGI LU PADA DAPET SEPATU SEBAGUS INI CUMAN 99RIBU;senang
