text;emotion
"Kalau bisa packingnya lebih aman lagi kak,,kalau kualitas barang baik"" saja nice";senang
Bags sepatunya kayak digambar;netral
Bagus suka;senang
bagus, cm ada di bagian tali yg ga rapih;senang
Bajunya udah smpai ukuran pas bahan jga tidak trlalu tebal ya sesuai harganya tpi yg birunya ada koyak berlobang dri bagian depan tembus kebelakang..pas buka paket pun lupa utk videokan..kedepannya tlg lebih teliti lgi;senang
ini ukuran L dan masuk akal;senang
ok;netral
Datangnya on time, ukr pas, adem;netral
"Datangnya on time, bahan nya adem ukr pas
Sdh beli ke 2 kalinya";netral
Datangnya on time, warna real picture;netral
"Kalau bisa packingnya lebih aman lagi kak,,kalau kualitas barang baik"" saja nice";senang
Pengiriman lama sekali;netral
Bags sepatunya kayak digambar;netral
Bagus suka;senang
"Jatohnya kek beli barang bekas gak sih ini, outsol nya kotor, kardus ancur robek"" 
Hadeh";marah
Kekecilan,harus up dr 2 uk sblmnya 😭😭;netral
bagus, cm ada di bagian tali yg ga rapih;senang
Bajunya udah smpai ukuran pas bahan jga tidak trlalu tebal ya sesuai harganya tpi yg birunya ada koyak berlobang dri bagian depan tembus kebelakang..pas buka paket pun lupa utk videokan..kedepannya tlg lebih teliti lgi;senang
ini ukuran L dan masuk akal;senang
ok;netral
"Kalau bisa packingnya lebih aman lagi kak,,kalau kualitas barang baik"" saja nice";senang
Pengiriman lama sekali;netral
Bags sepatunya kayak digambar;netral
Bagus suka;senang
"Jatohnya kek beli barang bekas gak sih ini, outsol nya kotor, kardus ancur robek"" 
Hadeh";marah
Kekecilan,harus up dr 2 uk sblmnya 😭😭;netral
bagus, cm ada di bagian tali yg ga rapih;senang
Bajunya udah smpai ukuran pas bahan jga tidak trlalu tebal ya sesuai harganya tpi yg birunya ada koyak berlobang dri bagian depan tembus kebelakang..pas buka paket pun lupa utk videokan..kedepannya tlg lebih teliti lgi;senang
ini ukuran L dan masuk akal;senang
terlalu besar untuk ukuran L dibandingkan yang sudah saya pesan sebelum sebelumnya. padahal d toko yang sama 🤣;senang
"Kalau bisa packingnya lebih aman lagi kak,,kalau kualitas barang baik"" saja nice";senang
Pengiriman lama sekali;netral
Bags sepatunya kayak digambar;netral
Bagus suka;senang
Daya tahan pakai: Karetnya bikin lecet modelnya bikin kaki cepat pegal;senang
"Jatohnya kek beli barang bekas gak sih ini, outsol nya kotor, kardus ancur robek"" 
Hadeh";marah
Kekecilan,harus up dr 2 uk sblmnya 😭😭;netral
Harusnya kalo size nya ga ada ga usah di kirim,jadi agak repot harus return;netral
bagus, cm ada di bagian tali yg ga rapih;senang
Bajunya udah smpai ukuran pas bahan jga tidak trlalu tebal ya sesuai harganya tpi yg birunya ada koyak berlobang dri bagian depan tembus kebelakang..pas buka paket pun lupa utk videokan..kedepannya tlg lebih teliti lgi;senang
terlalu besar untuk ukuran L dibandingkan yang sudah saya pesan sebelum sebelumnya. padahal d toko yang sama 🤣;senang
ini ukuran L dan masuk akal;senang
ok;netral
Datangnya on time, ukr pas, adem;netral
"Datangnya on time, bahan nya adem ukr pas
Sdh beli ke 2 kalinya";netral
Datangnya on time, warna real picture;netral
Toko gk modal, paket gk dibungkus polosan doang masuk kotoran, dibanting banting dilogistik entah dmn, intiyh jlek penangananyh,;senang
Sepatunya sudah sampai dan kualitasnya baik, untuk kedepannya sebaiknya saat pengiriman ke customer dilapisi dengan bubble wrap agar aman dan untuk sepatunya di perhatikan lagi agar tidak ada noda pada sepatunya. Terima kasih dan sukses selalu kak😁;senang
Baguss , hanya lumayan berat;senang
Bahan bagus celananya jg bagus tp emg gak cocok disaya tipe reguler jeans;senang
Bagus;senang
Bagus tapi Slim fit;senang
"Aku pesan model lain, yang datang model lain
Gimana nih aerostreet";senang
Gk sesuai exspektasi;senang
Soal bahan tidak diragukan lagi, tapi ukuran lingkar kaki bawah ternyata kecil;sedih
baguss tapi pengirimannya lumayan lama;senang
"Saya selalu yakin dgn Aerostreet. Kualitas ga abal-abal. Tapi sulit dipercaya kalau CS nya seperti ini. 
Harus ganti model, tidak bisa di cancel, kelebihan dana harus berupa voucher. Bayangkan aja kalau kejadian ini terjadi pada 10 atau 100 orang.";senang
Kekecilan ,padahal ukuran uda d tambahi;netral
bagus bajunya;senang
"Bentuk dan ukuran: Kebesaran katanya untuk bb 60 ambil XL waktu live ternyata gede bgt
Bahan: Tebal
Warna: Sesuai
Karakteristik: Cocok untuk olahraga jalan pagi";senang
Bentuk dan ukuran: pas , ukuran pas;netral
"Aroma: karet keras
Daya tahan pakai: mungkin gak terlalu lama kalau untuk harian karena sol nya gak pres. harus di sol ulang.";senang
Bahan oke saya suka, tapi warna barang sama warna di foto sedikit berbeda, yang datang sedikit lebih gelap tidak seterang di foto;senang
mantap;senang
Agak penyok dikit dibagian so lnya;netral
pembelian pertama kualitas bahan produk tebal, pembelian kedua bahan sangat tipis;senang
Di daerah jahitan depan atas ,sedikit tidak rapi,tapi Mayan lah dari harga segitu;senang
pas dengan kaki warna bagus dan barang sampai dengan baik;senang
ukuran yang dikirim salah dengan yang saya pesan, jadi saya kecewa kurang bgt disaya;marah
Bagus pas di kaki;senang
Nomor sepatu tidak standar, kalo mau beli silahkan dengan nomor yang biasa anda pakau pasti zonk... dan tidak bisa dituker.;senang
Barang nya sampai dengan waktu 1 hari;netral
"Modelnya si bagus, cuma sepatunya berat
Bentuk dan ukuran: Sesuai";senang
Bentuk dan ukuran: Bentuk dan ukuran sesuai;senang
"Jahitan perlu sdkit diperhatikan
Size sesuai pesanan
Agak sempit mungkin masih baru

8,5/10";senang
baru dipakai sehari serat nya udah pada rusak;marah
Bagusss sukaaa;netral
Bagus;senang
alhamdulillah aman tapi kalau bisa box quality nya lebih ditingkatkan;senang
Sebenernya suka beli kaos2 aerostreet tp yg dikirim mesti ga sesuai... udh di tmbhin dicatatan pesen warna biru sma hitam yg dikirim hitam semua. Lain kali lbh teliti lagi biar ga ngecewain pembeli;senang
sangat baikk⭐⭐⭐⭐⭐;senang
Oke good;senang
"Modelnya bagus.. cuman bagian QC nya aja perlu di tingkatkan kayaknya ,
Benang sisa  jaitannya  gak di potong rapi.";senang
parah banget paket nya ga di packing dus nya pada penyok;netral
Sesuai;senang
Sepatunya keren dan enak dipakai;senang
Sip;netral
Sip;netral
Sip;netral
Keren keren sih sepatu nya udah 5X beli di aerostreet😘😘😘😘😘😘😘😘;senang
Kualitas produk: Ok;netral
Bentuk dan ukuran: Ok;netral
sendalna oke banget ka.;netral
Sepatunya bagus nyaman;senang
Size tdk sesuai dgn merk sepatu lain.. mau tukar size g bisa.. pelayanan purna jual harus nya diperhatikan;senang
Kurang kalo yang ini..;netral
Kureng sih.. kek kaos 100rb 3;netral
Kek kaos 30rban wee;netral
packaging ga banget, entah ini dr ekspedisi kondisi box di congkel atau dr pengirim diawal, terus juga pengiriman luar kota masak cuma dbalut plastik bening aja, pas dbuka lebih parah lg kertas untuk nutpin spatu nya robek” pdhl ini untuk hdiah gatau ya kslahan dr pengirim atau kurir🙏;senang
Awal d pke sih ok.... Cuma cpt melar ny kek pke kulot🤣;netral
Ah mantap sesuai harga...;senang
Ada noda di baju putihnya.;sedih
Bagus;senang
Sesuai , bagus, mantap barang nya . Cuma Packing an kurang aman aja .walaupun cuma 200k lebih baik nya packing diamankan lagi 🙏;senang
bagus👍;senang
Ok;netral
Walaupun kemasan agak rusak..tapi isi oke lahh;senang
Ukuran yang ditampilkan kurang sesuai dengan ukuran sebenarnya;senang
Ok;netral
Lumayan tapi belum dipakai lambang aerostreet sudah lepas;senang
Navy nya terlalu gelap jadi kayak hitam 😭;sedih
Kualitas produk: Baik;senang
Aga kebesaran, UK M nya;senang
Baik;senang
Kok  punya saya polos an mass;senang
Real pict, minus cuma di kotak agak penyot;netral
ukuran XL nya terlalu kecil, tapi untuk kualitas sih okee;netral
Sandal nya bagus bangettt;senang
Untuk yang bingung nyari gambaran ya,ini gua TB 167 BB 55 pake M saran ku kalo TB/BB Segitu mending pake L aja agak longgaran dikit.untuk kain kualitas oke si;sedih
Mantap bahan nya tebal sesuai harapan;senang
Mayan berat sepatunya;netral
Barang sesuai, empuk dan bahannya bagus;senang
mantap sesuai;senang
"Bagus👍
Tapi bulu"" dalemannya menempel ke kulit semua saat habis dipakai,apalagi saat berkeringat ,mungkin bisa dievaluasi untuk dalemannya👍";senang
Sablonnya kurang bagus;senang
Bagus;senang
terimakasih barang sesuai harga cuma salah pilih size dan gabisa diretur;senang
alas dalamnya memg sengaja gak di lem atau gak diperiksa dulu sebelum dikirim kalau dipakai jadi kurang nyaman karna gak ngepres alasnya kalau dipakai jadi maju alasnya ikut mengkerut kedepan;senang
bagus banget huhuu tebel packing rapi aman trimakasi seler❤️;senang
Recommended😎;netral
Ukuran sesuai barang bagus peking rapi dan aman;senang
Barang ok sesuai pesanan pekingan rapi respon cepat;senang
"Daya tahan pakai: Bagus
Bentuk dan ukuran: Ukuran pas";senang
Barang sesuai pesanan peking rapi cepat datang;senang
kerenn nyaman;senang
Lumayan bahan bagus, bahan lembut dan tebal. cuma cutting an nya ga pas di badan ku;senang
Bentuk dan ukuran: sesuaii, baguss;senang
baguss lah lumayan tidak mengecewakan;netral
Sesuai tpi ko tinggi y sepatu y;senang
Bagus, cuma kebesaran dikit;senang
Brand sekelas Aerostreet packing nya tanpa bubble wrap, agak kecewa si walaupun barang sesuai.;netral
Kualitas bagus nyaman ,cuma bentuknya ada yang gak sama kanan dan kiri;senang
saya pesen uk M datangnya persis kyk uk S, karna BB TB saya sama dengan model yg di deskpripsi, sengaja ambil uk M supaya lebih longgar tapi ternyata pas banget di badannya🙏🏻🙏🏻;senang
Tumitny cuma tempelan.. sebagian dah mau lepas;netral
modelnya keren and mantap sekali dan jos and recomended;senang
kenapa paketnya udah rusak gini yaa bungkusnya;marah
Maaf ka apa bener ini slim fit ka, pas nyobain ko kayak reguler, TPI d kardusnya tulisan slim fit sih;senang
sayang banget dus nya rusak, soalnya tanpa di packing apapun jadi langsung dus nya pantes langsung rusak dus nya ketumpuk tumpuk diekspedisi bisa jadi sayang bgt, kedepannya diperbaiki ya min🙏🏻;senang
"Bentuk dan ukuran: Sesuai dgn ukuran cuma bentuknya aja agak panjang
Daya tahan pakai: Agak kaku d bagian atas sendalnya yg berbahan beludru";senang
Ok;netral
Bagus,sesuai,pas;netral
Bagus lembut sperti itu;senang
bahan jelek;marah
Design bagus tp masih kkecilan d ukuran bysa sy pke 42;senang
Kualitas produk: kainnya enk mantul;netral
Kualitas produk: nyaman kainny;senang
Prodok sesuai harga;senang
Agak berat, haknya agak tinggi  bisa bikin keseleo;senang
Bahan nya aga sedikit tipis beda sama yang warna lain....;senang
"Kurir👍
Barang👌
(Sedikit pendek)";senang
"Lumayan ok
Real pict";senang
mantap;senang
mantap;senang
sepatunya baguss,Ukurannya juga pas,Tpi lumayan berat dipake;senang
"tidak memuaskan sekali, tidak ada video unboxing karena udah percaya aja karena brand besar, percaya percaya aja, tapi selesai di buka malah cacat bolong"" tembus sampe 2 kain bolong ada 3 sisi";senang
"Bahan aerostreet skrg gk sama kaya biasa aku order yg lalu..
Ini lebih tipis bahannya..";senang
"Bahan aerostreet skrg gk sama kaya biasa aku order yg lalu..
Ini lebih tipis bahannya..";senang
"Bahan aerostreet skrg gk sama kaya biasa aku order yg lalu..
Ini lebih tipis bahannya..";senang
"Bahan aerostreet skrg gk sama kaya biasa aku order yg lalu..
Ini lebih tipis bahannya..";senang
Bagus banget barangnya sama seperti dividio;senang
trimakasih barang telah diterima dengan baik dan benar semoga bermanfaat dan awet aamiin;senang
👍👍👍;netral
Bagus... Tapi ukuran ga standar size 32 LP kecil banget kayak size 29. Jadi ga bisa kePake dech;senang
Ukuran sepatu agak sempit;netral
cocok, ukuran pas kurir nya juga transparan;senang
tidak sesuai dengan apa yang saya pesan padahal saya pesan warna pink tapi dikirim warna hitam;senang
"bagusss bangettt🥰😍
tapi ada beberapa benang yang ga rapi dan harusnya dipotong";senang
Ntah knapa kaos aerostreet skrang gak smaa kayak dulu.. Skrang tipis🥲padahal udah secinta itu aku..;senang
